Comment,Designator,Footprint,LCSC
1K,"R1,R2",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17513
330,R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17630
VIN1 LED,"D3,D4,D5",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297
10K,"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R4,R5,R6,R7,R8,R9",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804
0.1uF,"C1,C2",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C49678
74HC245,"U1,U2",SOIC-20W_7.5x12.8mm_P1.27mm,C5625
10uF,C3,CP_Elec_4x5.3,C72485
String2,J2,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String5,J5,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String6,J6,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String7,J7,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String8,J8,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String9,J9,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String10,J10,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String11,J11,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String12,J12,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String13,J13,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String14,J14,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String15,J15,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String16,J16,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
3544-2,F1,FUSE_3544-2,
3544-2,F7,FUSE_3544-2,
3544-2,F14,FUSE_3544-2,
3544-2,F2,FUSE_3544-2,
3544-2,F6,FUSE_3544-2,
3544-2,F8,FUSE_3544-2,
3544-2,F9,FUSE_3544-2,
3544-2,F10,FUSE_3544-2,
3544-2,F16,FUSE_3544-2,
3544-2,F5,FUSE_3544-2,
3544-2,F3,FUSE_3544-2,
3544-2,F13,FUSE_3544-2,
33,RN1,R_Array_SIP8,
3544-2,F11,FUSE_3544-2,
33,RN3,R_Array_SIP8,
33,RN4,R_Array_SIP8,
33,RN2,R_Array_SIP8,
3544-2,F4,FUSE_3544-2,
String1,J1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String3,J3,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String4,J4,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
3544-2,F15,FUSE_3544-2,
3544-2,F12,FUSE_3544-2,
Power In Left,J17,BARRIER_BLOCK_1ROW_2POS_P9.5MM,
Power In Right,J18,BARRIER_BLOCK_1ROW_2POS_P9.5MM,
v4 Input,J20,OST_302-S241,
